ss1235980600 ss1235977043 ss1235976446 ss1235976428
-0.4135478 0.2667926 -0.9306623 1.271722
-0.6875885 0.439314 -1.038604 1.387784
-0.2184411 0.2728298 -1.141783 1.135421
-0.5584603 0.3872206 -1.111568 1.273805
-0.483788 0.3175031 -1.224628 1.575131
-0.3676639 0.2645852 -1.288688 1.36943
-0.5420888 0.2347049 -1.175025 1.342962
-0.4446877 0.1337016 -1.142462 1.096014
-0.5443018 -0.1162974 -0.7504759 1.071658
-0.5634375 0.09079558 -1.031705 1.17036
-0.4248765 -0.02500716 -0.9261842 0.9603925
-0.5344691 -0.0008574543 -0.823875 1.122462
-0.3014179 0.2895445 -1.157043 1.212686
-0.3341182 0.3426201 -1.224771 1.290912
-0.4570865 0.4254994 -1.199559 0.9658113
-0.438709 0.3676897 -1.20591 1.075018
-0.6140546 0.3443996 -1.125557 1.04968
-0.5642396 0.351711 -0.8385727 0.7387189
-0.615159 0.2513738 -0.5860324 0.8632356
-0.647758 0.1008491 -1.054234 1.393788
-0.6797408 0.1212401 -0.9975717 1.381022
-0.3090096 0.08768731 -1.111827 1.305336
-0.4762762 0.08460141 -1.062591 1.346217
-0.5186282 0.07373752 -1.230259 1.36267
-0.4542965 0.2660862 -1.243799 1.178691
-0.4794332 0.2391547 -0.9309651 0.9169113
-0.6518245 0.6662134 -0.7964067 1.090843
-0.7374421 0.575929 -0.5141063 1.102144
-0.2387297 0.1213001 -0.8951026 1.198331
-0.4380945 0.04816613 -0.9385933 1.188832
-0.428747 -0.07473853 -1.059608 1.032396
-0.517698 0.138513 -1.187728 1.245956
-0.4170768 0.1891916 -1.480743 1.368308
-0.0573765 0.1525345 -1.096005 1.261942
-0.1334116 0.3742587 -1.152365 1.3773
-0.2142005 0.3958481 -1.073644 1.286198
-0.2708873 0.3136294 -0.9519301 1.106276
-0.1880926 0.240347 -0.7686725 0.8945106
0.2003446 0.2958894 -0.9241864 0.8101183
-0.1299649 0.1221649 -0.6872888 0.8357884
-0.3237633 0.5757172 -0.7576767 0.7096413
-0.3908334 0.5495827 -0.7237206 1.044526
-0.4636351 0.2867745 -0.7276011 0.9244823
-0.8302999 0.4883128 -0.7913218 1.137456
-0.9823046 0.1446729 -0.6375493 0.8499883
-1.158624 0.1536375 -0.5794084 0.6987547
-1.135739 0.05422525 -0.771867 0.8075439
-0.8404078 0.1039811 -0.8875529 0.807232
-0.6911424 0.03852703 -0.9549899 0.8804632
-0.548683 0.228009 -0.9061743 0.9297109
-0.5434831 0.1672441 -0.8852922 0.7890899
-0.7630167 0.02396462 -0.6951657 0.7706965
-0.724002 0.2503888 -0.6665025 0.8263131
-0.5096547 0.1806723 -0.9422142 1.22245
-0.5820928 0.3417982 -1.114989 1.191066
-0.6226426 0.2982723 -0.9456384 0.9724729
-0.5155102 0.1976826 -0.9221419 1.11018
-0.6654936 0.3247317 -0.9366396 0.9991099
-0.7654706 0.1407357 -0.7168874 0.8282353
-0.5501936 0.4065536 -0.6978379 0.8052021
-0.6838102 0.5338204 -0.6260153 0.8145799
-0.906804 0.4007335 -0.7967847 0.8544588
-0.6335126 0.2597615 -0.6868931 0.6555126
-0.5254137 0.05922671 -0.6911306 0.8178127
-0.2398218 0.0381341 -0.8603716 0.9769545
-0.1798756 0.3017579 -1.050967 1.12633
-0.2013365 0.01371735 -1.133984 1.454438
-0.09818597 0.04273338 -1.07462 1.247772
-0.04493313 0.234679 -1.067513 0.7793841
-0.05750305 0.2290012 -0.756317 0.5778536
-0.07175122 0.3199268 -0.7269379 0.7467149
-0.08972378 0.4225603 -0.9892656 0.5979087
-0.2013382 0.4104583 -0.7322405 0.7405852
-0.1402679 0.08254818 -0.4029547 0.4775614
-0.06259045 -0.08862528 -0.47828 0.6348396
-0.06602945 0.3149987 -0.611193 0.8071491
-0.3150945 0.3403259 -0.4421433 0.698334
-0.4393077 0.525856 -0.9653176 0.9208442
-0.4867981 0.5957761 -0.7577059 0.5677784
-0.6013211 0.2204551 -0.5627736 0.6498527
-0.8478818 0.1469751 -0.829162 0.6852301
-0.5561514 -0.01643112 -1.050053 1.106438
-0.524955 0.05041951 -1.117503 1.030538
-0.369522 0.2385561 -1.240233 1.033889
-0.2966466 0.1633852 -1.078063 1.144264
-0.2570062 0.3611774 -1.197365 1.269487
-0.4064291 0.3532132 -1.011037 1.071498
-0.6818196 0.6355464 -0.838145 1.064629
-0.6808701 0.3672362 -0.8204993 0.9956686
-0.8828933 0.217417 -0.8431428 1.270019
-1.281377 -0.07600907 -0.9961912 1.302978
-0.9517389 0.04855223 -1.536832 1.344841
-0.9276523 0.1362658 -1.167392 0.8664476
-1.053145 0.0007452571 -0.8947536 0.7643493
-0.713603 0.2571292 -1.253939 0.8868116
-0.8742256 0.04026552 -0.8998369 0.9522569
-0.7538089 0.0708497 -1.014728 1.064524
-0.5380936 0.01571047 -0.9638813 1.364007
-0.1586625 0.2134314 -1.03162 1.224551
-0.1602149 0.1778788 -1.029627 1.411852
-0.2413377 0.2962302 -1.197117 1.462805
-0.6319789 0.3492523 -0.950671 1.329808
-0.669055 0.3404185 -0.9957323 1.12434
-0.6175775 0.2074177 -0.6440889 0.9838712
-0.287153 0.5007592 -0.6574924 0.7794266
-0.03484369 0.1902444 -0.3968621 0.9767297
-0.3201625 0.07379131 -0.9170721 1.157944
-0.2881619 0.2205662 -0.7682077 0.9177728
-0.3223108 0.2953254 -0.887659 1.049074
-0.4264275 0.3936912 -1.080729 1.410437
-0.3505681 0.09224152 -1.19949 1.278664
-0.2373122 0.07181474 -1.130759 1.005809
-0.3257794 0.003162806 -1.227014 1.241025
-0.2101706 -0.01129291 -1.388599 1.330831
-0.1687544 0.3436486 -1.473259 1.515009
-0.04319741 0.4618779 -1.713581 1.990516
-0.06806982 0.3541384 -1.753547 1.854992
-0.2484039 0.1301237 -1.659905 1.622276
-0.3497625 0.1955631 -1.519578 1.513259
-0.6343368 0.198885 -1.409328 1.367578
-0.5011122 0.07249605 -1.157127 1.273518
-0.5319532 0.2841154 -1.179142 1.201564
-0.6660336 0.2554039 -1.226133 1.467136
-0.808613 0.5530087 -1.264706 1.468751
-0.7806761 0.3490801 -1.410128 1.514342
-0.5949695 0.261119 -1.372886 1.174888
-0.843856 0.2867015 -1.020745 1.104846
-0.4832885 0.000110582 -0.8326237 0.9955185
-0.5408098 0.315851 -0.992438 0.9601752
-0.7404131 0.3648831 -1.269215 1.182421
-0.5455653 0.08392627 -1.218914 1.206422
-0.6547387 0.0789085 -1.107828 1.038014
-0.5196405 -0.07563003 -1.318013 1.134574
-0.2125784 0.04950888 -1.252584 1.254097
-0.2029289 0.03853162 -1.293641 1.138961
-0.07223662 0.1503457 -1.473687 1.41427
-0.2239113 -0.02288827 -1.136172 1.333019
-0.2751892 0.2541052 -1.169662 1.035875
-0.2793544 0.2662216 -1.12714 1.046887
-0.4403098 0.219873 -1.13094 1.125683
-0.3923782 0.2437192 -1.222755 1.189038
-0.3516972 0.07642189 -1.127444 1.231952
-0.5150267 0.4353424 -0.9529153 1.000666
-0.3485791 0.1638817 -0.6845928 0.5519615
-0.4916832 0.1384448 -0.8690121 0.6253678
-0.5731178 0.1739186 -0.7457015 0.6894652
-0.6698719 0.05246436 -0.8072261 1.063194
-0.7168901 0.2100791 -1.2605 1.288669
-0.9828343 0.3668044 -1.342297 1.392081
-0.916554 0.2724459 -1.350325 1.223397
-1.251825 0.2252109 -1.194234 1.222633
-1.127262 0.2287486 -1.226164 1.201404
-1.001356 0.3474896 -1.073202 0.8474435
-0.6054808 0.5786811 -0.873664 1.018589
-0.4334421 0.4568398 -0.7003916 0.9344679
-0.5133087 0.3414415 -0.7578426 1.085566
-0.838109 0.3367404 -1.015539 1.394185
-1.137139 0.4105266 -0.8778235 1.233197
-0.9675798 0.3167575 -1.025342 1.147244
-1.05251 0.3258421 -0.7347033 0.9898828
-1.164704 0.3385925 -0.8947418 1.064413
-1.057058 0.1982959 -0.9250274 0.9469372
-1.050913 0.3747285 -1.154451 0.8318243
-1.030646 0.1168364 -1.131703 1.149384
-1.079057 0.1573325 -1.078197 0.9978429
-1.077408 0.06587344 -0.8396845 0.9673729
-1.021075 0.1277129 -0.9517766 1.233133
-1.115415 0.09272735 -1.175029 1.376784
-0.9482956 0.2158141 -1.340988 1.30974
-0.7856299 0.2300769 -1.387822 1.2519
-0.5690156 0.1578514 -1.046461 0.9439826
-0.2847882 0.1002819 -1.130335 0.9779926
-0.5092958 0.4556361 -1.217158 1.079782
-0.4848066 0.4492707 -0.9078935 0.9559536
-0.4255283 0.4763748 -0.8156441 0.8992644
-0.4340279 0.539952 -1.127524 1.021305
-0.3332445 0.2518155 -1.07522 1.322791
-0.4808069 0.4428674 -0.7688786 1.036604
-0.5188656 0.250869 -0.729944 0.7630062
-0.4997511 0.3159011 -0.7859851 0.8394957
-0.3483066 0.1658756 -0.7243823 0.8519131
-0.2802331 0.2132863 -1.167314 1.188768
-0.2653803 0.485442 -0.9979714 1.074109
-0.08184227 0.3648191 -0.6827558 0.974495
-0.04277537 0.2006234 -0.9946842 1.171315
-0.1521952 0.2093857 -0.941342 1.388304
-0.1302344 0.1958405 -1.111065 1.465797
-0.3180005 0.2769997 -1.389323 1.435173
-0.552245 0.4501466 -1.286556 1.409425
-0.5984661 0.2464189 -0.8649456 0.957345
-0.9674249 0.2895479 -0.7295166 0.8275804
-0.7922425 0.180039 -1.070441 0.9302437
-0.6586745 0.06409053 -0.9471935 1.047266
-0.627518 0.113655 -1.064001 1.124554
-0.68506 0.3559506 -1.321407 1.06948
-0.5381241 0.265198 -1.011264 1.011036
-0.4077527 0.04868724 -0.8887554 1.037289
-0.5364265 0.1807859 -0.8065717 1.089254
-0.4096748 0.1750304 -0.7549589 1.068858
-0.3612302 0.2068308 -0.8719299 1.069599
-0.3574177 0.1816894 -0.9866187 1.167797
-0.5882246 -0.01347016 -1.055396 1.260676
-0.8259056 0.2858171 -0.8960166 0.9819566
-0.8555072 0.2021341 -0.5804997 0.7443017
-0.7268278 -0.04649969 -0.6359789 0.9231167
-0.9293262 -0.1045298 -0.5599366 0.7026086
-0.8604058 -0.07887013 -0.7295479 0.9176104
-0.9148392 0.2359796 -0.7984771 0.7416029
-0.8349296 0.1009031 -0.8851901 1.042717
-0.5742574 0.4679981 -1.104157 0.872048
-0.9808393 0.3427585 -0.8856327 0.7682428
-1.098381 0.1708523 -0.8828237 0.8334824
-1.281418 0.2328198 -0.6142625 0.6148409
-1.339467 0.3490232 -0.5284879 0.4708314
-1.295513 0.3362939 -0.340758 0.7444681
-1.005997 0.5237623 -0.7245348 0.6726614
-1.027333 0.1795946 -0.3465317 0.3416007
-0.860325 0.04690004 -0.2475016 0.2150704
-1.131179 0.3546408 -0.1137819 0.2457957
-0.9189093 0.4003818 -0.2389135 0.1553993
-1.238024 0.4322514 -0.3774617 0.3630368
-1.030239 0.4247851 -0.6558248 0.7230494
-0.9496592 0.203749 -0.6546948 0.6004197
-0.7090176 0.118709 -0.5586836 0.5309751
-0.3801134 0.1223503 -0.4718325 0.4399528
-0.2877999 0.2731469 -0.560114 0.6076506
-0.3313405 0.4410021 -0.8095042 0.8789924
-0.4170278 0.3219163 -0.692175 0.7834985
-0.467068 0.4292677 -0.6066043 0.549969
-0.2088969 0.1387436 -0.6587834 1.047944
-0.2839058 0.1139374 -0.8448386 0.9793791
-0.4218854 0.06624832 -1.047861 1.16498
-0.6946604 0.385488 -0.7518362 0.9742342
-0.8758961 0.4713541 -0.785996 0.8768249
-0.7842334 0.6030253 -0.6572369 0.609681
-0.7496718 0.4223505 -0.5085739 0.574937
-0.5702579 -0.02330885 -0.5128096 0.669024
-0.8264654 0.146503 -0.3288488 0.3745665
-1.072185 0.2619948 -0.4834093 0.6591465
-1.02568 0.4052929 -0.5739581 0.7592163
-0.8786577 0.2720495 -0.4872603 0.83176
-0.7369408 0.1757074 -0.5071944 0.8801536
-1.062439 0.1175413 -0.7579037 1.021415
-0.7594692 0.1673036 -0.7293597 0.7527505
-0.6055472 -0.231457 -0.7582268 1.058329
-1.01759 0.004890775 -0.8460566 0.9910325
-0.7228184 0.1363286 -1.134454 1.022727
-0.4416809 0.2440196 -0.95343 1.045768
-0.5553172 -0.07405281 -0.6889246 0.9330018
-0.608255 0.07147619 -0.7284121 0.9347287
-0.7700983 0.1641349 -1.016106 1.336633
-0.6614159 0.0004998016 -1.074391 1.201286
-0.5003847 0.2214683 -1.302459 1.216525
-0.3729541 -0.002205527 -1.279992 1.063065
-0.291013 0.07967598 -1.053474 0.8773211
-0.1788198 0.009246351 -0.8092265 0.82692
-0.3950094 -0.05819807 -1.001682 1.50453
-0.2944979 -0.004188503 -1.11904 1.089214
-0.164857 -0.04175095 -1.055109 0.7548288
-0.2109438 0.1450056 -1.024309 0.763793
-0.2279902 0.1805768 -0.8818533 0.7415153
-0.4519014 0.4739768 -0.7315007 0.8693098
-0.9443886 0.5014777 -0.6302686 0.7249501
-0.7167489 0.3362181 -0.4827387 0.7395706
-0.5753623 0.4591858 -0.6460604 0.5421908
-0.4722514 0.07599193 -0.7576766 0.797646
-0.6625466 0.3282932 -0.6296179 0.7490895
-0.5761712 0.2447415 -0.599382 0.531586
-0.7137784 0.164609 -0.5426449 0.3346408
-0.7186953 0.1262276 -0.560829 0.4064915
-0.421433 0.2005271 -0.5814179 0.5007835
-0.437386 0.1746934 -0.6049972 0.7362611
-0.3918526 -0.111367 -0.5485531 0.6434667
-0.5379253 0.1227876 -0.9987716 1.127844
-0.4196674 0.1113401 -0.942376 0.8476649
-0.5239769 0.05149943 -0.8293813 0.891485
-0.2980924 0.1400419 -0.9801627 1.070853
-0.1660705 0.05235605 -0.8864368 1.300831
-0.07470144 0.2180087 -1.123418 1.398393
-0.03225591 0.3333094 -1.019994 1.184374
-0.4114134 0.35996 -0.9277194 1.230798
-0.2583898 0.3822166 -1.142024 1.376613
-0.4266339 0.1439973 -1.331998 1.748052
-0.2818828 0.3389044 -1.186123 1.083846
-0.3472494 0.2336637 -1.189523 1.223555
-0.6414613 0.4440305 -0.9629744 1.05063
-0.41446 0.4927502 -0.9253592 0.9351387
-0.7074757 0.6162309 -0.7777011 0.9592677
-0.6267155 0.4987264 -0.6534372 0.5909289
-0.7714816 0.1434958 -0.5061402 0.7554466
-0.8498366 0.3912079 -0.5927937 0.7628968
-0.8100796 0.3797582 -0.5028583 0.6894702
-0.8971013 0.4218689 -0.7332931 0.9959733
-0.7116378 0.3368399 -0.7575476 1.071475
-0.7074877 0.3648983 -0.6302211 0.9158433
-0.3883489 0.1657601 -0.8086671 0.7497964
-0.4099488 -0.1045208 -0.4802908 0.8255258
-0.4434511 0.09933645 -0.5805499 0.5493299
-0.6304941 0.2490791 -0.8213394 0.836493
-0.7898131 0.2146322 -0.7353915 0.9564732
-0.7492618 0.02381033 -0.5320751 0.8952016
-0.6274745 0.2576602 -0.8200136 0.7485881
-0.8909062 0.375762 -0.7940066 0.7894258
-0.7076598 0.1115443 -0.9554609 0.931751
-1.041049 0.0527777 -1.028929 1.137303
-0.8053028 0.1592187 -0.9478795 1.014598
-0.8456355 0.1019057 -1.033617 1.04617
-0.858059 0.1892966 -1.096787 1.061517
-0.8544217 0.6250458 -1.283652 1.24139
-0.8367171 0.2040756 -0.8115713 1.010187
-0.5496604 0.2876224 -0.9768783 1.099305
-0.5013359 0.314823 -0.9518383 0.9793072
-0.5536742 0.3911481 -0.8577317 0.9491377
-0.4055366 0.1460994 -0.7331493 1.064084
-0.4296563 0.5651269 -0.8461686 0.9781736
-0.5251657 0.4883627 -0.9879816 1.03266
-0.2371605 0.199551 -0.8170888 0.8182227
-0.2066267 -0.06641137 -0.6890935 0.7818197
-0.02333071 0.177441 -1.062114 0.9286026
0.0522765 0.08397295 -0.5832014 0.8452706
-0.09176705 0.2208807 -0.4845612 0.5559336
0.1419267 0.2976059 -0.7128138 0.8891745
-0.05916192 0.4965018 -0.7630881 0.9358743
-0.2069717 0.4099154 -0.3187183 0.7425201
-0.2829867 0.3270721 -0.3998493 0.6957628
-0.1565159 0.400426 -0.7323698 1.147129
-0.001141843 0.237323 -1.027231 1.275676
